Label,id,node
George E. Ohr|Biloxi Art Pottery,163,163
Edward Marshall Boehm,164,164
Edgar Walter,165,165
F Ziegler,166,166
Mary Abastenia St. Leger Eberle,167,167
Chester Beach,168,168
George Bellows,169,169
Joseph Maxwell Miller,170,170
Paul Dougherty,171,171
Eugene Speicher,172,172
Edward J. Steichen,173,173
Paul Manship,174,174
Jonas Lie,175,175
Mahonri Mackintosh Young,176,176
Maurice Sterne,177,177
Gerald Thayer,178,178
Rockwell Kent,179,179
Albert Laessle,180,180
Charles Shepard Chapman,181,181
Harry Dickinson Thrasher,182,182
Malvina Cornell Hoffman,183,183
Julio Kilenyi,184,184
Margaret Hoard,185,185
John Henry Bradley Storrs,186,186
Elie Nadelman,187,187
Josef Albers,188,188
Romare Bearden,189,189
Aristocrat Embroidery,190,190
Richard Hunt,191,191
Theodoros Stamos,192,192
Anni Albers,193,193
Edward Avedisian,194,194
Conrad Marca-Relli,195,195
Wilhelm Hunt Diederich,196,196
Fair-Tex Mills,197,197
Jasco Fabrics,198,198
Will and Eileen Richardson,199,199
Amicale Industries,200,200
Shamokin Woolen Mills,201,201
Balfour Mills,202,202
Saul Goldman|Borg Fabrics,203,203
Preston Dickinson,204,204
Hal Reed,205,205
Mark Rothko,206,206
Leon Polk Smith,207,207
Worden Day,208,208
Ward Lockwood,209,209
Man Ray,210,210
Peer Smed,211,211
Frank Stella,212,212
"Tom Allen, Jr.",213,213
Albert Christ-Janer,214,214
Calister Thomas,215,215
Beverly Nusom,216,216
Roger Baker,217,217
Peter Blume,218,218
Kenneth Callahan,219,219
Edward Melcarth,220,220
Van Day Truex,221,221
Leonid,222,222
Walter Stuempfig,223,223
Richard Diebenkorn,224,224
David Smith,225,225
Ellsworth Kelly,226,226
Herbert Gentry,227,227
William Baziotes,228,228
Moïse Kisling|Jacques Lipchitz,229,229
Philip Guston,230,230
Hale Woodruff,231,231
Ely Jacques Kahn,232,232
Thomas Sills,233,233
James Whitney Fosburgh,234,234
Dorothy Liebes,235,235
Steuben|Frederick Carder,236,236
Jack Lenor Larsen,237,237
Raymond Parker,238,238
Carlos Osorio,239,239
Barbara Chase-Riboud,240,240
Hobson Pittman,241,241
Friedel Dzubas,242,242
Louise Bourgeois,243,243
Esteban Vicente,244,244
Larry Poons,245,245
Gene Davis,246,246
Don Wight,247,247
Wendy Klein,248,248
Yoshiko Kogo,249,249
Countess Elsie Lee Gozzi|Fortuny,250,250
Michael Hurson,251,251
Gandy Brodie,252,252
Sally Hazelet Drummond,253,253
Christopher Wilmarth,254,254
Isamu Noguchi,255,255
Chunghi Choo,256,256
Sylvia Carewe,257,257
Ilya Bolotowsky,258,258
Guy Pène du Bois,259,259
Reginald Marsh,260,260
Jan Matulka,261,261
Edward Hopper,262,262
Charles Ephraim Burchfield,263,263
Charles Demuth,264,264
Ernest Fiene,265,265
Peggy Bacon,266,266
Pavel Tchelitchew,267,267
Dan Flavin,268,268
Jacques Lipchitz,269,269
Kenneth Noland,270,270
Dan Christensen,271,271
Ludwig Sander,272,272
Raoul Hague,273,273
Palmer Hayden,274,274
James Prestini,275,275
Theodore Hallman,276,276
Jack Whitten,277,277
Jules Olitski,278,278
Barnett Newman,279,279
James Brooks,280,280
Adolph Gottlieb,281,281
Willem de Kooning,282,282
Alex Katz,283,283
Milton Avery,284,284
Roland R. Correia,285,285
Gilbert M. Fletcher,286,286
Maxwell Hendler,287,287
Max Weber,288,288
Richard Hennessy,289,289
N.C. Wyeth,290,290
Hans Hofmann,291,291
Umberto Romano,292,292
Alexander Liberman,293,293
Karl Knaths,294,294
Anne Truitt,295,295
Richard Serra,296,296
Marcel Duchamp,297,297
Charles Picco,298,298
Oscar Bluemner,299,299
Santo Bufalo,300,300
Russel Wright,301,301
Andrew Wyeth,302,302
George A. Weymouth,303,303
Al Held,304,304
Fairfield Porter,305,305
Walter Darby Bannard,306,306
Morris Louis,307,307
Arthur B. Carles,308,308
Marguerite Zorach|William Zorach,309,309
Rockwood Pottery Co.,310,310
Ad Reinhardt,311,311
Arman,312,312
Gilbert Rohde,313,313
"Gilbert Rohde|The Herman Miller Furniture Company, Zeeland, MI",314,314
"Reimann|Chase Brass & Copper Company, Inc. (Waterbury, Connecticut)",315,315
Joseph Cornell,316,316
Alice Trumbull Mason,317,317
Russel Wright|Yamato China Co. Ltd.,318,318
Russel Wright|Paden City Pottery Company,319,319
Russel Wright|Paden City Glass,320,320
Russel Wright|Iroquois China Company,321,321
Russel Wright|Harker Pottery Company,322,322
Russel Wright|Steubenville Pottery Company,323,323
Russel Wright|J.A. Bauer Pottery Company,324,324
Russel Wright|Klise Wood Working Company,325,325
Russel Wright|Appleman Art Glass,326,326
Russel Wright|Morgantown Glassware Guild,327,327
Russel Wright|John Hull Cutlery Corp.,328,328
John McLaughlin,329,329
Dale Chihuly,330,330
Bob Thompson,331,331
D.B. Fuller & Co,332,332
Clyfford Still,333,333
Wendell Castle,334,334
Andy Warhol,335,335
Jules Pascin,336,336
Blythe Bohnen,337,337
Betty Blayton-Taylor,338,338
Norman Bluhm,339,339
Harvey K. Littleton,340,340
Chryssa,341,341
Dominick Labino,342,342
David Budd,343,343
Jon Carsman,344,344
John Canonico,345,345
Neil Welliver,346,346
Peter Agostini,347,347
Melvin Lindquist,348,348
Mark Lindquist,349,349
Red Grooms,350,350
Howardena Pindell,351,351
Nancy Graves,352,352
Jennifer Bartlett,353,353
Yvonne Jacquette,354,354
Nell Blaine,355,355
Joel Shapiro,356,356
Dorothy Ruddick,357,357
Anne Arnold,358,358
Jane Wilson,359,359
Jane Freilicher,360,360
Thomas Patti,361,361
John H. Hopkins,362,362
Richard Pousette-Dart,363,363
Ponte Vecchio of New York and Florence,364,364
Wayne Thiebaud,365,365
Richard Haas,366,366
Edwin Dickinson,367,367
Roy Lichtenstein,368,368
Larry Rivers,369,369
Alan Shields,370,370
Philip Pearlstein,371,371
James Denmark,372,372
Alfonso Ossorio,373,373
John Day,374,374
Brice Marden,375,375
Peter Müller-Munk,376,376
Paul Resika,377,377
Maurice Berezov,378,378
Fritz Bultman,379,379
Lillian Kiesler,380,380
Lee Krasner,381,381
Perle Fine,382,382
William Freed,383,383
Lila Katzen,384,384
John Grillo,385,385
Peter Busa,386,386
Wolf Kahn,387,387
Robert Goodnough,388,388
Nicholas Krushenick,389,389
John Haley,390,390
Lillian Orlowsky,391,391
Cameron Booth,392,392
Dorothy Heller,393,393
Nieves Marshaleck Billmyer,394,394
Leatrice Rose,395,395
Erle Loran,396,396
George McNeil,397,397
Seong Moy,398,398
Quentin Fiore,399,399
Joseph Urban,400,400
"Walter von Nessen|Nessen Studio, Inc.",401,401
"Gilbert Rohde|The Troy Sunshade Company (Troy, Ohio)",402,402
George Sakier|Fostoria Glass Company,403,403
Juan Hamilton,404,404
Joseph Hirsch,405,405
Larry Zox,406,406
Jasper Johns,407,407
Robert Kulicke,408,408
Willard Boepple,409,409
Clifford Ross,410,410
Robert Beauchamp,411,411
Virginia Admiral,412,412
Richard Stankiewicz,413,413
Stephen Pace,414,414
Lillian Abrams,415,415
Harry Brown,416,416
Judith Rothschild,417,417
Jerome Burns,418,418
Basil Cimino,419,419
Tania Milicevic,420,420
William Crozier,421,421
Hans Hokanson,422,422
Phillip Pavia,423,423
Charles Cajori,424,424
Richard Yarde,425,425
Mark di Suvero,426,426
"Corbett, Harrison & MacMurray|Hood & Fouilhoux|Reinhard & Hofmeister|W. S. Tyler Cab Co.|Mr. and Mrs. S.E. Barnette",427,427
Gertrude Glass Greene,428,428
Kay Hillman,429,429
Zita Querido,430,430
Antoinette Laselle,431,431
Fay Lansner,432,432
Morris Graves,433,433
John Button,434,434
I. J. Belmont,435,435
Sydney Butchkes,436,436
Dorothy Dehner,437,437
Michael Heizer,438,438
Maurice Heaton,439,439
E. Byrne Livingston,440,440
Jay S. Willis,441,441
Ernest Trova,442,442
Sam Gilliam,443,443
Ilonka Karasz|Paye & Baker Mfg. Co.,444,444
Jules Bouy,445,445
William Zorach,446,446
Marguerite Zorach,447,447
Peggy Huck,448,448
Thomas Lanigan-Schmidt,449,449
Rafael Ferrer,450,450
Walter Dusenbery,451,451
Charles Eames|Ray Eames,452,452
Glenn Wessels,453,453
Marilyn Davidson,454,454
Michael Jerry,455,455
Frederick J. Brown,456,456
Wharton Esherick,457,457
Charles Baskerville,458,458
Ray Eames,459,459
Gerome Kamrowski,460,460
Giorgio Cavallon,461,461
Dan Dailey,462,462
George Sugarman,463,463
Charles Seliger,464,464
Lee Gatch,465,465
Raphael Soyer,466,466
Robert Gruen,467,467
"Robert Gruen|Sweden House, Inc.",468,468
Robert Gruen|Parker Pen Company,469,469
Jim Dine,470,470
Audrey Flack,471,471
"Van Day Truex|Baccarat, France",472,472
Peter Reginato,473,473
Jo Anne Schneider,474,474
Donald Deskey|Ypsilanti Reed Furniture Company,475,475
Robert De Niro,476,476
Henry Varnum Poor,477,477
Michael Vivo,478,478
"John E. Dowell, Jr.",479,479
Janet Fish,480,480
Bruce Boice,481,481
Mary Ann Scherr,482,482
Jess,483,483
Jon Kuhn,484,484
Walt Kuhn,485,485
Maurice Golubov,486,486
Anthony de Francisci,487,487
Jerome Witkin,488,488
Abraham Rattner,489,489
Mary Callery,490,490
Charles Biederman,491,491
Eero Saarinen|Knoll,492,492
Malcolm Morley,493,493
Charmion von Wiegand,494,494
Reuben Nakian,495,495
William King,496,496
Milton Resnick,497,497
Alice Baber,498,498
Cy Twombly,499,499
Sonia Gechtoff,500,500
William Gropper,501,501
Robert Ebendorf|David-Andersen,502,502
Robert Ebendorf,503,503
"The Company of Master Craftsmen, for W. & J. Sloane|Unknown Designer",504,504
Gwenn Thomas,505,505
Maryam Zafar,506,506
Warren Brandt,507,507
Ludwig Mies van der Rohe,508,508
McArthur Binion,509,509
Dennis Ashbaugh,510,510
Claudia Helene Jemmott,511,511
Michael Glancy,512,512
William Harper,513,513
Joan Witek,514,514
William Wyman,515,515
Kjels Juul-Hansen,516,516
Kjels Juul-Hansen|Astro Dye Works,517,517
"Donald Deskey|Lesher, Whitman and Company",518,518
Charles Sarka,519,519
Abraham Walkowitz,520,520
Bernard Pfriem,521,521
Tony Smith,522,522
Will Barnet,523,523
Wayne Higby,524,524
Sidney Goodman,525,525
Al Loving,526,526
Malcolm Bailey,527,527
William Clutz,528,528
Joyce Kozloff,529,529
John Ferren,530,530
Joyce Treiman,531,531
John Clem Clarke,532,532
Ed Baynard,533,533
Chaim Gross,534,534
Moses Soyer,535,535
Patricia Johanson,536,536
Richard Anuszkiewicz,537,537
Walter Dorwin Teague|Edwin W. Fuerst|Libbey Glass Company,538,538
