Label,Label2,source,Target
Berenice Abbott,1926,163,67
Alexander Archipenko,1926,255,67
John Taylor Arms,1926,258,67
George C. Ault,1926,277,67
Mahonri M. Young,1926,320,67
Harry Wickey,1926,413,67
Jay Van Everen,1926,511,67
Yves Tanguy,1926,564,67
Henry Schnakenberg,1926,717,67
Charles Sheeler,1926,783,67
John Sloan,1926,832,67
Niles Spencer,1926,912,67
Cesare Stea,1926,934,67
Edward Steichen,1926,938,67
Jules Pascin,1926,1201,67
Harley Perkins,1926,1228,67
Henry Varnum Poor,1926,1290,67
Georgia O'Keeffe,1926,1345,67
John Noble,1926,1437,67
Man Ray,1926,1485,67
John Marin,1926,1506,67
Reginald Marsh,1926,1513,67
Jan Matulka,1926,1535,67
Gaston Lachaise,1926,1727,67
Robert Laurent,1926,1774,67
Jacques Lipchitz,1926,1842,67
Charles Locke,1926,1852,67
Florence Lucius,1926,1884,67
George Luks,1926,1887,67
Philip Kappel,1926,1917,67
Bernard Karfiol,1926,1919,67
Rockwell Kent,1926,1958,67
Walt Kuhn,1926,2045,67
Wanda Gag,1926,2138,67
Yun Gee,1926,2165,67
William Glackens,1926,2196,67
Arshile Gorky,1926,2236,67
John D. Graham,1926,2248,67
Chaim Gross,1926,2286,67
Hugh Ferriss,1926,2334,67
Ernest Fiene,1926,2337,67
Karl Free,1926,2412,67
Adolf Dehn,1926,2534,67
Edwin Dickinson,1926,2565,67
Preston Dickinson,1926,2566,67
Elsie Driggs,1926,2614,67
Guy Pène Du Bois,1926,2620,67
Marcel Duchamp,1926,2622,67
Alexander Calder,1926,2652,67
Peter Cammarata,1926,2662,67
Blendon Campbell,1926,2666,67
Glenn O. Coleman,1926,2779,67
Howard Cook,1926,2800,67
Peggy Bacon,1926,2864,67
Thomas Hart Benton,1926,2961,67
George Biddle,1926,2992,67
Oscar Bluemner,1926,3033,67
Peter Blume,1926,3037,67
Fiske Boyd,1926,3075,67
Charles Burchfield,1926,3147,67
Léon Hartl,1926,3220,67
Eugene Higgins,1926,3286,67
Stefan Hirsch,1926,3301,67
Edward Hopper,1926,3323,67
Paul Manship,1926,3836,67
"The Company of Master Craftsmen, for W. & J. Sloane|Unknown Designer",1926,3992,67
David Levine,1926,4064,67
George Ault,1926,4077,67
John Bernard Flannagan,1926,4157,67
Robert Hallowell,1926,4158,67
Clement Wilenchick,1926,4161,67
Stehli Silks Corporation|Stehli Silks Corporation,1926,4176,67
Adelaide Alsop Robineau,1926,4557,67
A. Sheldon Pennoyer,1926,4577,67
Harry Wearne,1926,4599,67
Gunta Stölzl Workshop|Anni Albers,1926,4875,67
Marianna von Allesch|Robert McBratney and Company,1926,4961,67
Berenice Abbott,1938,163,52
Russell Barnett Aitken,1938,190,52
Glen Earl Alps,1938,209,52
Charles Henry Alston,1938,210,52
William Zorach,1938,305,52
Carl Walters,1938,342,52
John Whorf,1938,412,52
Harry Wickey,1938,413,52
Anthony Velonis,1938,521,52
Pavel Tchelitchew,1938,579,52
Dox Thrash,1938,600,52
Louis Schanker,1938,701,52
Katherine Schmidt,1938,713,52
Charles G. Shaw,1938,776,52
Aaron Siskind,1938,827,52
Frederick Sommer,1938,887,52
Raphael Soyer,1938,900,52
Benton Murdoch Spruance,1938,918,52
Joseph Stella,1938,948,52
Hedda Sterne,1938,952,52
Ad Reinhardt,1938,1042,52
Walter Rosenblum,1938,1106,52
Charles Rosen,1938,1108,52
Ruth Starr Rose,1938,1115,52
Andrée Ruellan,1938,1140,52
Fred Papsdorf,1938,1183,52
I. Rice Pereira,1938,1224,52
Jackson Pollock,1938,1285,52
Elie Nadelman,1938,1392,52
Man Ray,1938,1485,52
Joseph Margulies,1938,1503,52
John Marin,1938,1506,52
Reginald Marsh,1938,1513,52
Bruce Mitchell,1938,1648,52
László Moholy-Nagy,1938,1659,52
Claire Moore,1938,1668,52
Maud Morgan,1938,1676,52
George L. K. Morris,1938,1683,52
Paul Landacre,1938,1740,52
Armin Landeck,1938,1742,52
Ibram Lassaw,1938,1764,52
Jacob Lawrence,1938,1777,52
William L'Engle,1938,1799,52
Russell Limbach,1938,1836,52
Charles Locke,1938,1852,52
Louis Lozowick,1938,1879,52
Gerome Kamrowski,1938,1911,52
Philip Kappel,1938,1917,52
Benjamin Kopman,1938,2020,52
Lee Krasner,1938,2029,52
Walt Kuhn,1938,2045,52
Yasuo Kuniyoshi,1938,2047,52
Mervin Jules,1938,2119,52
A.E. Gallatin,1938,2144,52
Emil Ganso,1938,2149,52
Lloyd Lozes Goff,1938,2207,52
Morris Graves,1938,2256,52
William Gropper,1938,2285,52
Chaim Gross,1938,2286,52
John Ferren,1938,2332,52
Perle Fine,1938,2344,52
Karl Free,1938,2412,52
Harold Edgerton,1938,2449,52
Andrew Dasburg,1938,2494,52
Willem de Kooning,1938,2536,52
John Stockton deMartelly,1938,2543,52
Edwin Dickinson,1938,2565,52
Burgoyne Diller,1938,2572,52
Werner Drewes,1938,2612,52
Elsie Driggs,1938,2614,52
Paul Cadmus,1938,2642,52
Blendon Campbell,1938,2666,52
Federico Castellón,1938,2697,52
Giorgio Cavallon,1938,2703,52
Jean Charlot,1938,2722,52
Max Arthur Cohn,1938,2777,52
Richard Correll,1938,2813,52
John Edward Costigan,1938,2816,52
Ralston Crawford,1938,2833,52
John Steuart Curry,1938,2853,52
Lamar Baker,1938,2879,52
Thomas Hart Benton,1938,2961,52
Eugene Berman,1938,2969,52
Virginia Berresford,1938,2976,52
Charles Biederman,1938,2995,52
Isabel Bishop,1938,3012,52
Aaron Bohrod,1938,3044,52
Ilya Bolotowsky,1938,3048,52
Rosalind Bengelsdorf Browne,1938,3122,52
Fritz Bultman,1938,3145,52
Charles Burchfield,1938,3147,52
David Burliuk,1938,3155,52
Hananiah Harari,1938,3202,52
Marsden Hartley,1938,3219,52
Rosella Hartman,1938,3222,52
Albert Heckman,1938,3250,52
Irwin David Hoffman,1938,3304,52
Edward Hopper,1938,3323,52
Carl Hoeckner,1938,3608,52
Hale Woodruff,1938,3866,52
Dorothy Liebes,1938,3870,52
Charles Ephraim Burchfield,1938,3881,52
Quentin Fiore,1938,3935,52
Robert Gruen,1938,3974,52
John Little,1938,4015,52
Lois Mailou Jones,1938,4044,52
George L.K. Morris,1938,4226,52
George Constant,1938,4345,52
Charles Shaw,1938,4381,52
Norman Wilfred Lewis,1938,4406,52
Henry Dreyfuss,1938,4537,52
Richard Blow,1938,4629,52
Boris Lovet-Lorski,1938,4631,52
Gertrude K. Lathrop,1938,4632,52
Edith C. Blum,1938,4636,52
Harry Lane,1938,4637,52
Suzanne Silvercruys,1938,4638,52
Rudolf Jacobi,1938,4641,52
Philip von Saltza,1938,4643,52
Stuart Benson,1938,4646,52
Lee Brown Coye,1938,4650,52
Thomas Craig,1938,4651,52
Alexander Nepote,1938,4657,52
Milford Zornes,1938,4659,52
Richard Sussman,1938,4670,52
"Samuel Joseph Brown, Jr.",1938,4696,52
Remo Farruggio,1938,4703,52
Daniel Koerner,1938,4705,52
Joseph De Martini,1938,4708,52
Eliot Clark,1938,4784,52
"Henry Dreyfuss|Westclox Company, Division of General Time Instruments Corp. (La Salle, Illinois)",1938,4908,52
"Henry Dreyfuss|Buffalo China (Buffalo, New York)",1938,4909,52
"Walter Kidde Sales Company, Bloomfield, New Jersey|Norman Bel Geddes|Worthen Paxton",1938,4916,52
"Clarence Karstadt|Sears, Roebuck and Company",1938,4921,52
"Wilber L. Orme|Cambridge Glass Company (Cambridge, Ohio)",1938,4928,52
"William Archibald Welden|Revere Copper and Brass Company, Rome, NY",1938,4939,52
Wilmer Angier Jennings,1938,4965,52
William E. Smith,1938,4966,52
Ernest Crichlow,1938,4977,52
Louise E. Jefferson,1938,4983,52
Raymond Steth,1938,4995,52
Fred Carlo,1938,5005,52
Carl G. Hill,1938,5006,52
Clarence Lawson,1938,5009,52
David Ross,1938,5010,52
Stokely Webster,1938,5019,52
"Henry Dreyfuss|International Silver Company, Meriden, Connecticut",1938,5021,52
Berenice Abbott,1940,163,2
Edmund Archer,1940,254,2
John Taylor Arms,1940,258,2
Milton Avery,1940,281,2
William Zorach,1940,305,2
Abraham Walkowitz,1940,339,2
Max Weber,1940,364,2
Weegee,1940,367,2
Brett Weston,1940,392,2
Minor White,1940,405,2
John Whorf,1940,412,2
Denny E. Winters,1940,453,2
Agnes Tait,1940,559,2
Yves Tanguy,1940,564,2
John W. Taylor,1940,575,2
Dox Thrash,1940,600,2
Louis Schanker,1940,701,2
Georges Schreiber,1940,730,2
Charles G. Shaw,1940,776,2
Harry Shokler,1940,795,2
Aaron Siskind,1940,827,2
Moses Soyer,1940,899,2
Raphael Soyer,1940,900,2
Elizabeth Sparhawk-Jones,1940,904,2
Eugene Speicher,1940,909,2
Niles Spencer,1940,912,2
Benton Murdoch Spruance,1940,918,2
Joseph Stella,1940,948,2
Miklos Suba,1940,984,2
Abraham Rattner,1940,1023,2
Anton Refregier,1940,1036,2
Ad Reinhardt,1940,1042,2
Robert Riggs,1940,1064,2
Boardman Robinson,1940,1075,2
Umberto Romano,1940,1092,2
Ruth Starr Rose,1940,1115,2
Theodore Roszak,1940,1122,2
Carl Ruggles,1940,1142,2
Luís Quintanilla,1940,1164,2
Walter Quirt,1940,1165,2
PaJaMa,1940,1177,2
Richard Pousette-Dart,1940,1298,2
Georgia O'Keeffe,1940,1345,2
Elliot Orr,1940,1369,2
Thomas W. Nason,1940,1400,2
Loren MacIver,1940,1459,2
John Marin,1940,1506,2
Reginald Marsh,1940,1513,2
Merritt Mauzey,1940,1540,2
Mary Ellen Bute,1940,1575,2
Anne Norton Meyer,1940,1613,2
Felicia Meyer,1940,1614,2
Ira Moskowitz,1940,1695,2
Armin Landeck,1940,1742,2
Edward Landon,1940,1745,2
Helen Levitt,1940,1822,2
Jacques Lipchitz,1940,1842,2
Seymour Lipton,1940,1847,2
Charles Locke,1940,1852,2
Leon Kelly,1940,1948,2
Rockwell Kent,1940,1958,2
Franz Kline,1940,1993,2
Lee Krasner,1940,2029,2
Peter Krasnow,1940,2030,2
Walt Kuhn,1940,2045,2
Boris Gorelick,1940,2234,2
Gordon Hope Grant,1940,2254,2
Morris Graves,1940,2256,2
William Gropper,1940,2285,2
Chaim Gross,1940,2286,2
George Grosz,1940,2292,2
Alfeo Faggi,1940,2309,2
Dean Fausett,1940,2317,2
Andreas Feininger,1940,2323,2
Herbert Ferber,1940,2329,2
William Freed,1940,2411,2
Harold Edgerton,1940,2449,2
Philip Evergood,1940,2483,2
Henry Darger,1940,2493,2
Stuart Davis,1940,2514,2
Adolf Dehn,1940,2534,2
Willem de Kooning,1940,2536,2
Burgoyne Diller,1940,2572,2
Arthur Dove,1940,2602,2
Otis Dozier,1940,2606,2
Werner Drewes,1940,2612,2
Alexander Calder,1940,2652,2
Federico Castellón,1940,2697,2
Claude Clark,1940,2758,2
Carroll Cloar,1940,2767,2
Max Arthur Cohn,1940,2777,2
Ralston Crawford,1940,2833,2
Charles Culver,1940,2844,2
Bernadine Custer,1940,2858,2
Lamar Baker,1940,2879,2
Mark Baum,1940,2918,2
William Baziotes,1940,2921,2
Gifford R. Beal,1940,2922,2
Thomas Hart Benton,1940,2961,2
Charles Biederman,1940,2995,2
Isabel Bishop,1940,3012,2
Ilya Bolotowsky,1940,3048,2
Ann Brockman,1940,3104,2
Hananiah Harari,1940,3202,2
Marsden Hartley,1940,3219,2
Joseph Hirsch,1940,3300,2
Irwin David Hoffman,1940,3304,2
Edward Hopper,1940,3323,2
Peter Hurd,1940,3353,2
George Platt Lynes,1940,3449,2
Mike Disfarmer,1940,3599,2
Anni Albers,1940,3756,2
Edward Marshall Boehm,1940,3828,2
Dorothy Liebes,1940,3870,2
James Prestini,1940,3882,2
Russel Wright|J.A. Bauer Pottery Company,1940,3904,2
D.B. Fuller & Co,1940,3909,2
Lillian Orlowsky,1940,3929,2
Charles Baskerville,1940,3971,2
"Robert Gruen|Sweden House, Inc.",1940,3975,2
Kjels Juul-Hansen,1940,4002,2
John Lonergan,1940,4014,2
The Hall China Company|J. Palin Thorley,1940,4038,2
Eliel Saarinen,1940,4054,2
Lyonel Charles Feininger,1940,4069,2
Gladys Rockmore Davis,1940,4084,2
Ilonka Karasz,1940,4088,2
Emil Bisttram,1940,4138,2
Benjamin Baldwin,1940,4166,2
Charles Eames|Eero Saarinen,1940,4172,2
Dan Cooper,1940,4173,2
Robert Gruen|Unknown Manufacturer,1940,4225,2
Albert Eugene Gallatin,1940,4227,2
Charles Eames|Ray Eames|Evans Products Company,1940,4275,2
Frank Rebajes,1940,4372,2
Joseph Delaney,1940,4423,2
William Henry Johnson,1940,4463,2
Lawrence H. Lebduska,1940,4474,2
