Label2,Unnamed: 1,source,id,node
1894,MET,1,1,1
1940,MET,2,1,1
1902,MET,3,1,1
1909,MET,4,1,1
1906,MET,5,1,1
1908,MET,6,1,1
1911,MET,7,1,1
1910,MET,8,1,1
1907,MET,9,1,1
1914,MET,10,1,1
1913,MET,11,1,1
1904,MET,12,1,1
1916,MET,13,1,1
1905,MET,14,1,1
1917,MET,15,1,1
1915,MET,16,1,1
1918,MET,17,1,1
1919,MET,18,1,1
1934,MET,19,1,1
1933,MET,20,1,1
1930,MET,21,1,1
1928,MET,22,1,1
1969,MET,23,1,1
1965,MET,24,1,1
1950,MET,25,1,1
1952,MET,26,1,1
1949,MET,27,1,1
1900,MET,28,1,1
1960,MET,29,1,1
1946,MET,30,1,1
1948,MET,31,1,1
1944,MET,32,1,1
1929,MET,33,1,1
1953,MET,34,1,1
1945,MET,35,1,1
1955,MET,36,1,1
1920,MET,37,1,1
1970,MET,38,1,1
1924,MET,39,1,1
1921,MET,40,1,1
1947,MET,41,1,1
1935,MET,42,1,1
1964,MET,43,1,1
1966,MET,44,1,1
1971,MET,45,1,1
1939,MET,46,1,1
1958,MET,47,1,1
1959,MET,48,1,1
1957,MET,49,1,1
1961,MET,50,1,1
1963,MET,51,1,1
1938,MET,52,1,1
1936,MET,53,1,1
1937,MET,54,1,1
1943,MET,55,1,1
1951,MET,56,1,1
1931,MET,57,1,1
1973,MET,58,1,1
1972,MET,59,1,1
1932,MET,60,1,1
1962,MET,61,1,1
1954,MET,62,1,1
1967,MET,63,1,1
1974,MET,64,1,1
1883,MET,65,1,1
1927,MET,66,1,1
1926,MET,67,1,1
1968,MET,68,1,1
1975,MET,69,1,1
1976,MET,70,1,1
1941,MET,71,1,1
1977,MET,72,1,1
1942,MET,73,1,1
1978,MET,74,1,1
1956,MET,75,1,1
1979,MET,76,1,1
1923,MET,77,1,1
1922,MET,78,1,1
1912,MET,79,1,1
1980,MET,80,1,1
1981,MET,81,1,1
1925,MET,82,1,1
1982,MET,83,1,1
1983,MET,84,1,1
1984,MET,85,1,1
1893,MET,86,1,1
1985,MET,87,1,1
1986,MET,88,1,1
1886,MET,89,1,1
1987,MET,90,1,1
1899,MET,91,1,1
1988,MET,92,1,1
1989,MET,93,1,1
1990,MET,94,1,1
1991,MET,95,1,1
1903,MET,96,1,1
1992,MET,97,1,1
1993,MET,98,1,1
1994,MET,99,1,1
1995,MET,100,1,1
1996,MET,101,1,1
1997,MET,102,1,1
1998,MET,103,1,1
1875,MET,104,1,1
1872,MET,105,1,1
1884,MET,106,1,1
1877,MET,107,1,1
1898,MET,108,1,1
1878,MET,109,1,1
1881,MET,110,1,1
1901,MET,111,1,1
1999,MET,112,1,1
2000,MET,113,1,1
2001,MET,114,1,1
2002,MET,115,1,1
2003,MET,116,1,1
2005,MET,117,1,1
2004,MET,118,1,1
2006,MET,119,1,1
1895,MET,120,1,1
2007,MET,121,1,1
2008,MET,122,1,1
2009,MET,123,1,1
2010,MET,124,1,1
2011,MET,125,1,1
2012,MET,126,1,1
2013,MET,127,1,1
1894,Whitney,1,2,2
1940,Whitney,2,2,2
1902,Whitney,3,2,2
1909,Whitney,4,2,2
1906,Whitney,5,2,2
1908,Whitney,6,2,2
1911,Whitney,7,2,2
1910,Whitney,8,2,2
1907,Whitney,9,2,2
1914,Whitney,10,2,2
1913,Whitney,11,2,2
1904,Whitney,12,2,2
1916,Whitney,13,2,2
1905,Whitney,14,2,2
1917,Whitney,15,2,2
1915,Whitney,16,2,2
1918,Whitney,17,2,2
1919,Whitney,18,2,2
1934,Whitney,19,2,2
1933,Whitney,20,2,2
1930,Whitney,21,2,2
1928,Whitney,22,2,2
1969,Whitney,23,2,2
1965,Whitney,24,2,2
1950,Whitney,25,2,2
1952,Whitney,26,2,2
1949,Whitney,27,2,2
1900,Whitney,28,2,2
1960,Whitney,29,2,2
1946,Whitney,30,2,2
1948,Whitney,31,2,2
1944,Whitney,32,2,2
1929,Whitney,33,2,2
1953,Whitney,34,2,2
1945,Whitney,35,2,2
1955,Whitney,36,2,2
1920,Whitney,37,2,2
1970,Whitney,38,2,2
1924,Whitney,39,2,2
1921,Whitney,40,2,2
1947,Whitney,41,2,2
1935,Whitney,42,2,2
1964,Whitney,43,2,2
1966,Whitney,44,2,2
1971,Whitney,45,2,2
1939,Whitney,46,2,2
1958,Whitney,47,2,2
1959,Whitney,48,2,2
1957,Whitney,49,2,2
1961,Whitney,50,2,2
1963,Whitney,51,2,2
1938,Whitney,52,2,2
1936,Whitney,53,2,2
1937,Whitney,54,2,2
1943,Whitney,55,2,2
1951,Whitney,56,2,2
1931,Whitney,57,2,2
1973,Whitney,58,2,2
1972,Whitney,59,2,2
1932,Whitney,60,2,2
1962,Whitney,61,2,2
1954,Whitney,62,2,2
1967,Whitney,63,2,2
1974,Whitney,64,2,2
1927,Whitney,66,2,2
1926,Whitney,67,2,2
1968,Whitney,68,2,2
1975,Whitney,69,2,2
1976,Whitney,70,2,2
1941,Whitney,71,2,2
1977,Whitney,72,2,2
1942,Whitney,73,2,2
1978,Whitney,74,2,2
1956,Whitney,75,2,2
1979,Whitney,76,2,2
1923,Whitney,77,2,2
1922,Whitney,78,2,2
1912,Whitney,79,2,2
1980,Whitney,80,2,2
1981,Whitney,81,2,2
1925,Whitney,82,2,2
1982,Whitney,83,2,2
1983,Whitney,84,2,2
1984,Whitney,85,2,2
1893,Whitney,86,2,2
1985,Whitney,87,2,2
1986,Whitney,88,2,2
1987,Whitney,90,2,2
1899,Whitney,91,2,2
1988,Whitney,92,2,2
1989,Whitney,93,2,2
1990,Whitney,94,2,2
1991,Whitney,95,2,2
1903,Whitney,96,2,2
1992,Whitney,97,2,2
1993,Whitney,98,2,2
1994,Whitney,99,2,2
1995,Whitney,100,2,2
1996,Whitney,101,2,2
1997,Whitney,102,2,2
1998,Whitney,103,2,2
1898,Whitney,108,2,2
1901,Whitney,111,2,2
1999,Whitney,112,2,2
2000,Whitney,113,2,2
2001,Whitney,114,2,2
2002,Whitney,115,2,2
2003,Whitney,116,2,2
2005,Whitney,117,2,2
2004,Whitney,118,2,2
2006,Whitney,119,2,2
1895,Whitney,120,2,2
2007,Whitney,121,2,2
2008,Whitney,122,2,2
2009,Whitney,123,2,2
2010,Whitney,124,2,2
2011,Whitney,125,2,2
2012,Whitney,126,2,2
2013,Whitney,127,2,2
2014,Whitney,128,2,2
n.d.,Whitney,129,2,2
"1968,  1969",Whitney,130,2,2
1930s,Whitney,131,2,2
1920s,Whitney,132,2,2
1940s,Whitney,133,2,2
2015,Whitney,134,2,2
"n.d,",Whitney,135,2,2
,Whitney,136,2,2
1960s,Whitney,137,2,2
1936 or 1937,Whitney,138,2,2
1890,Whitney,139,2,2
16-Jul-81,Whitney,140,2,2
1944s,Whitney,141,2,2
1950s,Whitney,142,2,2
1963s,Whitney,143,2,2
1891,Whitney,144,2,2
1967s,Whitney,145,2,2
1980s,Whitney,146,2,2
1970s,Whitney,147,2,2
1882,Whitney,148,2,2
1955s,Whitney,149,2,2
1892,Whitney,150,2,2
196572,Whitney,151,2,2
1960 or 1961,Whitney,152,2,2
0.1918,Whitney,153,2,2
1939– 1945,Whitney,154,2,2
196570,Whitney,155,2,2
1925s,Whitney,156,2,2
1929s,Whitney,157,2,2
1933s,Whitney,158,2,2
2016,Whitney,159,2,2
1926– 1936,Whitney,160,2,2
1947– 1948,Whitney,161,2,2
1962s,Whitney,162,2,2
1880,Whitney,163,2,2
1994–,Whitney,164,2,2
late 1970s,Whitney,165,2,2
n.d. published 1972,Whitney,166,2,2
1950ss,Whitney,167,2,2
1960ss,Whitney,168,2,2
not dated,Whitney,169,2,2
1897,Whitney,170,2,2
1929 or 1930,Whitney,171,2,2
1938 or 1947,Whitney,172,2,2
1938 or 1954,Whitney,173,2,2
1946 or 1948,Whitney,174,2,2
1947 or  1946,Whitney,175,2,2
2004–ongoing,Whitney,176,2,2
1930ss,Whitney,177,2,2
1941 or 1942,Whitney,178,2,2
1896,Whitney,179,2,2
1938 or 1939,Whitney,180,2,2
1870s,Whitney,181,2,2
2017,Whitney,182,2,2
Unknown,Whitney,183,2,2
2018,Whitney,184,2,2
. 1945,Whitney,185,2,2
n.d. 1975,Whitney,186,2,2
1990s,Whitney,187,2,2
2019,Whitney,188,2,2
2012–present,Whitney,189,2,2
1977s,Whitney,190,2,2
2020,Whitney,191,2,2
